epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5286538004875183,0.0010000000474974513,1.7730400562286377,0.6035847067832947,1.1953498125076294
1,0.6670501828193665,0.0010000000474974513,1.2473721504211426,0.6777234673500061,0.9552704095840454
2,0.7051108479499817,0.0010000000474974513,1.119183897972107,0.6914571523666382,0.9020288586616516
3,0.7238163352012634,0.0010000000474974513,1.045304298400879,0.715782105922699,0.8315255045890808
4,0.7415067553520203,0.0010000000474974513,0.9718121290206909,0.711010217666626,0.863441526889801
5,0.7546764016151428,0.0010000000474974513,0.9231712222099304,0.7312616109848022,0.788773775100708
6,0.7658834457397461,0.0010000000474974513,0.8760612607002258,0.7624534368515015,0.7117342948913574
7,0.7740180492401123,0.0010000000474974513,0.8400036096572876,0.7505819201469421,0.7357760667800903
8,0.783844530582428,0.0010000000474974513,0.8074485659599304,0.7462756037712097,0.7630490064620972
9,0.7907338738441467,0.0010000000474974513,0.7768808603286743,0.7678072452545166,0.700512170791626
10,0.795728325843811,0.0010000000474974513,0.7563106417655945,0.7757216095924377,0.6714583039283752
11,0.8011559247970581,0.0010000000474974513,0.7346822023391724,0.7653631567955017,0.6916098594665527
12,0.8051623106002808,0.0010000000474974513,0.7149698734283447,0.7767691016197205,0.6554229855537415
13,0.8109824061393738,0.0010000000474974513,0.6941789984703064,0.7687383890151978,0.6779951453208923
14,0.8145285844802856,0.0010000000474974513,0.6742039918899536,0.7839850783348083,0.6485199928283691
15,0.819617748260498,0.0010000000474974513,0.6611580848693848,0.780842661857605,0.6568896174430847
16,0.8194282650947571,0.0010000000474974513,0.6573498845100403,0.7821229100227356,0.6428746581077576
17,0.8233264088630676,0.0010000000474974513,0.6350988745689392,0.7892225384712219,0.6342973709106445
18,0.8268725872039795,0.0010000000474974513,0.6281173229217529,0.7881750464439392,0.6525078415870667
19,0.8299720883369446,0.0010000000474974513,0.615739643573761,0.778282105922699,0.6788250803947449
20,0.8330716490745544,0.0010000000474974513,0.5991110801696777,0.7870111465454102,0.6482343673706055
21,0.8355079889297485,0.0010000000474974513,0.5946045517921448,0.7861964702606201,0.6470904350280762
22,0.837253987789154,0.0010000000474974513,0.5817153453826904,0.7913175225257874,0.6353044509887695
23,0.8454968929290771,0.0005000000237487257,0.5516394972801208,0.7951582670211792,0.6260352730751038
24,0.8485828638076782,0.0005000000237487257,0.541603684425354,0.7935288548469543,0.6386032104492188
25,0.8509786128997803,0.0005000000237487257,0.5373464822769165,0.7939944267272949,0.6357046365737915
26,0.8503424525260925,0.0005000000237487257,0.5343369841575623,0.7980679869651794,0.6367540955543518
27,0.8530359268188477,0.0005000000237487257,0.525759220123291,0.7927141785621643,0.644213080406189
28,0.8560813069343567,0.0005000000237487257,0.5185835957527161,0.7972532510757446,0.6310925483703613
29,0.8594380021095276,0.0002500000118743628,0.5070417523384094,0.7996973991394043,0.629341721534729
30,0.8591943979263306,0.0002500000118743628,0.5016464591026306,0.7963221669197083,0.6346976161003113
31,0.8590590357780457,0.0002500000118743628,0.499149888753891,0.8001629710197449,0.6304765939712524
32,0.8615765571594238,0.0002500000118743628,0.49374228715896606,0.8034217953681946,0.6217524409294128
33,0.8616307377815247,0.0002500000118743628,0.4912838339805603,0.7985334992408752,0.6341372132301331
34,0.863904595375061,0.0002500000118743628,0.4867568612098694,0.7966713309288025,0.6436406970024109
35,0.8621856570243835,0.0002500000118743628,0.48668795824050903,0.7991154789924622,0.6343192458152771
36,0.8641347289085388,0.0002500000118743628,0.4841780960559845,0.8001629710197449,0.6364464163780212
37,0.8653528690338135,0.0002500000118743628,0.4786577522754669,0.8006284832954407,0.638726532459259
38,0.8667334318161011,0.0001250000059371814,0.47326257824897766,0.8045856356620789,0.6292986869812012
39,0.8675861358642578,0.0001250000059371814,0.4717695415019989,0.8016759753227234,0.6424437761306763
40,0.8661649823188782,0.0001250000059371814,0.4720498025417328,0.8000465631484985,0.6411015391349792
41,0.8683441281318665,0.0001250000059371814,0.46473705768585205,0.7993482351303101,0.6509107351303101
42,0.8682087659835815,0.0001250000059371814,0.4666219651699066,0.8024907112121582,0.6413286328315735
43,0.8672206997871399,6.25000029685907e-05,0.46371451020240784,0.7992318272590637,0.6482943892478943
44,0.8695622682571411,6.25000029685907e-05,0.4590998589992523,0.8027234673500061,0.6405586004257202
45,0.8700089454650879,6.25000029685907e-05,0.46191245317459106,0.8017923831939697,0.6420521140098572
46,0.8695081472396851,6.25000029685907e-05,0.46263933181762695,0.8008612394332886,0.6485545039176941
47,0.8692238926887512,6.25000029685907e-05,0.46359699964523315,0.802141547203064,0.6422140002250671
48,0.8684794902801514,3.125000148429535e-05,0.4572790563106537,0.8035382032394409,0.6384488940238953
49,0.8695487380027771,3.125000148429535e-05,0.45842763781547546,0.800744891166687,0.6454753279685974
50,0.8711864948272705,3.125000148429535e-05,0.45344650745391846,0.8037709593772888,0.641242265701294
51,0.8709699511528015,3.125000148429535e-05,0.45552557706832886,0.8036545515060425,0.6421653032302856
52,0.869927704334259,3.125000148429535e-05,0.45514628291130066,0.8037709593772888,0.6422345042228699
53,0.8715248703956604,1.5625000742147677e-05,0.45463109016418457,0.8033053874969482,0.6450543999671936
