epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.3864956796169281,0.0010000000474974513,2.2798545360565186,0.510358452796936,1.491274118423462
1,0.6165155172348022,0.0010000000474974513,1.1844749450683594,0.6719040870666504,1.0351626873016357
2,0.6913702487945557,0.0010000000474974513,0.8984466791152954,0.723929226398468,0.8688342571258545
3,0.7284433841705322,0.0010000000474974513,0.7705346345901489,0.730912446975708,0.8326371908187866
4,0.7529226541519165,0.0010000000474974513,0.6810513734817505,0.7591946125030518,0.7442035675048828
5,0.7746032476425171,0.0010000000474974513,0.6219524145126343,0.7835195660591125,0.6721185445785522
6,0.7884547114372253,0.0010000000474974513,0.5791612267494202,0.7852653861045837,0.6862345933914185
7,0.8031033277511597,0.0010000000474974513,0.5340907573699951,0.8031890392303467,0.6172353625297546
8,0.8151835203170776,0.0010000000474974513,0.5050521492958069,0.8073789477348328,0.6217893958091736
9,0.8196648955345154,0.0010000000474974513,0.48474058508872986,0.811103343963623,0.5934937596321106
10,0.8299915194511414,0.0010000000474974513,0.4532567262649536,0.8207635283470154,0.5754764676094055
11,0.8358721733093262,0.0010000000474974513,0.4378213584423065,0.8297253251075745,0.5420702695846558
12,0.836775541305542,0.0010000000474974513,0.4379305839538574,0.8341480493545532,0.5376119613647461
13,0.849068284034729,0.0010000000474974513,0.4017130136489868,0.8471834063529968,0.49915069341659546
14,0.849847674369812,0.0010000000474974513,0.39480364322662354,0.8463687300682068,0.4926007091999054
15,0.8558346033096313,0.0010000000474974513,0.37357649207115173,0.8362430334091187,0.5400210022926331
16,0.858898937702179,0.0010000000474974513,0.3697342574596405,0.8440409898757935,0.5194234848022461
17,0.8628489375114441,0.0010000000474974513,0.3564750552177429,0.843342661857605,0.5167511105537415
18,0.8663738369941711,0.0010000000474974513,0.3422985374927521,0.8509078025817871,0.4887166917324066
19,0.8702529668807983,0.0010000000474974513,0.33732664585113525,0.8475325703620911,0.5155618190765381
20,0.8711385726928711,0.0010000000474974513,0.3340400457382202,0.8375232815742493,0.5332714915275574
21,0.8707488775253296,0.0010000000474974513,0.33283478021621704,0.8521881103515625,0.48760855197906494
22,0.8763638734817505,0.0010000000474974513,0.31125980615615845,0.8564944267272949,0.480126291513443
